Title,Price_Text,Price_Numeric,Location,Bedrooms,Bathrooms,Area_Size,Area_Unit,Area_Sqft
To sale You Can Find Spacious House In DHA Phase 7,3.9 Crore,39000000.0,"DHA Phase 7, DHA Defence",4.0,4.0,10.0,Marla,2722.5
1 Kanal Owner Build Modern Bungalow For Sale In Phase 3 DHA Prime Location,7.8 Crore,78000000.0,"DHA Phase 3, DHA Defence",5.0,6.0,1.0,Kanal,5445.0
Last One Cheapest Price 2-Kanal Fully Furnished Modern Design bungalow One kanal Lawn One Kanal Bungalow For Sale Near Rayay Fair Ways & Mosque,22.99 Crore,229899999.99999997,"DHA Phase 6, DHA Defence",6.0,7.0,2.0,Kanal,10890.0
10 Marla Corner House For Sale In Gul Mohar Block Sector C Bahria Town Lahore,3.9 Crore,39000000.0,"Bahria Town - Sector C, Bahria Town",5.0,6.0,10.0,Marla,2722.5
21 Marla Ultra Luxury Brand New Designer House For Sale in Valancia Town Lahore.,8.95 Crore,89500000.0,"Valencia Housing Society, Lahore",5.0,6.0,1.0,Kanal,5445.0
Main Gulberg 9 Kanal Off Main Boulevard,1 Arab,1.0,"Main Boulevard Gulberg, Gulberg",10.0,7.0,9.0,Kanal,49005.0
1 Kanal Luxury House For Sale in DHA Phase 6,9 Crore,90000000.0,"DHA Phase 6 - Block B, DHA Phase 6",5.0,5.0,1.0,Kanal,5445.0
2 Kanal Brand New First Entry Spanish Style Facing Road 100 Feet For Sale Available In Valencia Housing Society Lahore,17.5 Crore,175000000.0,"Valencia Housing Society, Lahore",6.0,6.0,2.0,Kanal,10890.0
1 Kanal Brand New First Entry House For Sale Available In Valencia Housing Society Lahore,8.25 Crore,82500000.0,"Valencia Housing Society, Lahore",5.0,6.0,1.0,Kanal,5445.0
1 Kanal Brand New First Entry Stylist House For Sale Available In Valencia Housing Society Lahore,8.25 Crore,82500000.0,"Valencia Housing Society, Lahore",5.0,6.0,1.0,Kanal,5445.0
10 Marla House For sale in DHA phase 4,3.65 Crore,36500000.0,"DHA Phase 4, DHA Defence",4.0,5.0,10.0,Marla,2722.5
Brand New House Available For Sale In DHA 9 Town Lahore,2.15 Crore,21500000.0,"DHA 9 Town, DHA Defence",3.0,4.0,5.0,Marla,1361.25
3 Kanal Beautiful Bungalow,40 Crore,400000000.0,"St John Park, Cantt",11.0,7.0,3.0,Kanal,16335.0
OWNER NEEDY 1 KANAL VICTORIAN DESIGN BUNGALOW FOR SALE IN LOW PRICE NEAR TO CARREFOUR.,6.65 Crore,66500000.0,"DHA Phase 7 - Block U, DHA Phase 7",5.0,6.0,1.0,Kanal,5445.0
